LOCALIZATION KEY,English,CATEGORY (d),LOC GROUP (d),LOC STATE (d),French,Italian,German,Spanish_Spain,Spanish_LATAM,Portuguese_Brazil,Russian,Chinese_Simplified,Chinese_Traditional,Japanese,Korean,Pseudo_English,Loc_Keys
ROTNDP_PlaylistOneTrack,   1 track,ROTNDP,,,   1 morceau,   1 brano,   1 Titel,   1 pista,   1 pista,   1 faixa,   1 трек,   1 首曲目,   1 首曲目,   1トラック,   1 트랙,,
ROTNDP_PlaylistSize,"{0,4} tracks",ROTNDP,,,"{0,4} morceaux","{0,4} brani","{0,4} Titel","{0,4} pistas","{0,4} pistas","{0,4} faixas","{0,4} трека","{0,4} 首曲目","{0,4} 首曲目","{0,4}トラック","{0,4} 트랙",,
ROTNDP_AllTracks,All tracks,ROTNDP,,,Tous les morceaux,Tutti i brani,Alle titel,Todas las pistas,Todas las pistas,Todas as faixas,Все треки,所有曲目,所有曲目,すべてのトラック,모든 트랙,,
ROTNDP_EditorTracks,Editor's tracks,ROTNDP,,,Morceaux de l'éditeur,Brani dell'editor,Titel des editors,Pistas del editor,Pistas del editor,Faixas do editor,Треки редактора,编辑曲目,編輯曲目,エディタートラック,에디터 트랙,,
ROTNDP_NewTracks,New,ROTNDP,,,Nouveaux,Nuovi,Neu,Nuevas,Nuevas,Novas,Новые,新曲目,新曲目,新規,신규,,
ROTNDP_UncompletedTracks,Uncomplete,ROTNDP,,,Non terminés,Non completati,Nicht abgeschlossen,Incompletas,Incompletas,Incompletas,Незавершённые,未完成,未完成,未完成,미완료,,
ROTNDP_CyclePlaylistMode,Switch playlists,ROTNDP,,,Changer de playlist,Cambia playlist,Wiedergabelisten wechseln,Cambiar lista de reproducción,Cambiar lista de reproducción,Trocar playlist,Сменить плейлисты,切换播放列表,切換播放列表,プレイリストを切り替え,플레이리스트 전환,,
ROTNDP_SortingOrderPlaylistOrderLabel,Custom order,ROTNDP,,,Ordre personnalisé,Ordine personalizzato,Benutzerdefinierte Reihenfolge,Orden personalizado,Orden personalizado,Ordem personalizada,Пользовательский порядок,自定义顺序,自訂順序,カスタム順,사용자 지정 순서,,
ROTNDP_SortingOrderPlaylistSizeAscendingLabel,Size: ascending,ROTNDP,,,Taille : ascendant,Dimensione: crescente,Größe: aufsteigend,Tamaño: ascendente,Tamaño: ascendente,Tamanho: crescente,Размер: по возрастанию,大小：升序,大小：升序,サイズ：昇順,크기: 오름차순,,
ROTNDP_SortingOrderPlaylistSizeDescendingLabel,Size: descending,ROTNDP,,,Taille : descendant,Dimensione: decrescente,Größe: absteigend,Tamaño: descendente,Tamaño: descendente,Tamanho: decrescente,Размер: по убыванию,大小：降序,大小：降序,サイズ：降順,크기: 내림차순,,
ROTNDP_PlaylistModeNoPlaylistsLabel,All tracks,ROTNDP,,,Tous les morceaux,Tutti i brani,Alle Titel,Todas las pistas,Todas las pistas,Todas as faixas,Все треки,所有曲目,所有曲目,すべてのトラック,모든 트랙,,
ROTNDP_PlaylistModeArtistPlaylistsLabel,Artist's playlists,ROTNDP,,,Playlists d'artistes,Playlist degli artisti,Wiedergabelisten von Künstlern,Listas de reproducción de artistas,Listas de reproducción de artistas,Playlists dos artistas,Плейлисты артистов,艺术家播放列表,藝術家播放列表,アーティストのプレイリスト,아티스트 플레이리스트,,
ROTNDP_PlaylistModeStageCreatorPlaylistsLabel,Stage creator's playlists,ROTNDP,,,Playlists de créateurs,Playlist dei creatori,Wiedergabelisten von Erstellern,Listas de reproducción de creadores,Listas de reproducción de creadores,Playlists dos criadores,Плейлисты создателей,创作者播放列表,創作者播放列表,クリエイターのプレイリスト,크리에이터 플레이리스트,,
ROTNDP_PlaylistModeUserPlaylistsLabel,User playlists,ROTNDP,,,Playlists personnalisées,Playlist utente,Wiedergabelisten des Benutzers,Listas de reproducción del usuario,Listas de reproducción del usuario,Playlists do usuário,Плейлисты пользователя,用户播放列表,使用者播放列表,ユーザーのプレイリスト,사용자 플레이리스트,,
